,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
,,,,,,,416,Vespiquen,Air Slash,Bug Bite,Bug Buzz,Fell Stinger,Fury Cutter,Poison Sting,Power Gem,Signal Beam,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,417,Pachirisu,Spark,Thunder,Thunder Punch,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,418,Buizel,Aqua Jet,Quick Attack,Swift,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,419,Floatzel,Aqua Jet,Hydro Pump,Swift,Water Gun,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,420,Cherubi,Bullet Seed,Petal Blizzard,Power Whip,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,421,Cherrim,Bullet Seed,Dazzling Gleam,Hyper Beam,Razor Leaf,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,421,Cherrim-Sunshine,Bullet Seed,Dazzling Gleam,Hyper Beam,Razor Leaf,Solar Beam,Weather Ball (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,422,Shellos,Body Slam,Hidden Power,Mud Bomb,Mud Slap,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,423,Gastrodon,Body Slam,Earth Power,Hidden Power,Mud Slap,Water Pulse,✝ Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,424,Ambipom,Aerial Ace,Astonish,Hyper Beam,Low Sweep,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,425,Drifloon,Astonish,Hex,Icy Wind,Ominous Wind,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,426,Drifblim,Astonish,Hex,Icy Wind,Ominous Wind,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,427,Buneary,Fire Punch,Pound,Quick Attack,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,428,Lopunny,Fire Punch,Focus Blast,Hyper Beam,Low Kick,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,429,Mismagius,Dark Pulse,Dazzling Gleam,Hex,Return,Shadow Ball,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,430,Honchkrow,Brave Bird,Dark Pulse,Peck,Psychic,Sky Attack,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,431,Glameow,Aerial Ace,Play Rough,Quick Attack,Scratch,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,432,Purugly,Aerial Ace,Play Rough,Scratch,Shadow Claw,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,433,Chingling,Psyshock,Shadow Ball,Wrap,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,434,Stunky,Bite,Crunch,Flamethrower,Scratch,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,435,Skuntank,Bite,Crunch,Flamethrower,Poison Jab,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,436,Bronzor,Confusion,Gyro Ball,Heavy Slam,Payback,Psyshock,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,437,Bronzong,Bulldoze,Confusion,Feint Attack,Flash Cannon,Heavy Slam,Payback,Psychic,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,438,Bonsly,Counter,Earthquake,Rock Slide,Rock Throw,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,439,Mime Jr.,Confusion,Pound,Psybeam,Psychic,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,440,Happiny,Dazzling Gleam,Pound,Psychic,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,441,Chatot,Heat Wave,Night Shade,Peck,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,442,Spiritomb,Feint Attack,Ominous Wind,Shadow Ball,Shadow Sneak,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,443,Gible,Body Slam,Dig,Mud Shot,Take Down,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,444,Gabite,Dig,Flamethrower,Mud Shot,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,445,Garchomp,Dragon Tail,Earthquake,Fire Blast,Mud Shot,Outrage,Sand Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,446,Munchlax,Body Slam,Bulldoze,Gunk Shot,Lick,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,447,Riolu,Brick Break,Counter,Cross Chop,Low Sweep,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,448,Lucario,Aura Sphere,Bullet Punch,Close Combat,Counter,Flash Cannon,Power-Up Punch,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,449,Hippopotas,Bite,Body Slam,Dig,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,450,Hippowdon,Bite,Body Slam,Earth Power,Earthquake,Fire Fang,Ice Fang,Stone Edge,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,451,Skorupi,Aqua Tail,Cross Poison,Infestation,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,452,Drapion,Aqua Tail,Bite,Crunch,Fell Stinger,Ice Fang,Infestation,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,453,Croagunk,Brick Break,Low Sweep,Poison Jab,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,454,Toxicroak,Counter,Dynamic Punch,Mud Bomb,Poison Jab,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,455,Carnivine,Bite,Crunch,Energy Ball,Power Whip,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,456,Finneon,Ice Beam,Pound,Silver Wind,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,457,Lumineon,Blizzard,Silver Wind,Water Gun,Water Pulse,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,458,Mantyke,Aerial Ace,Bubble,Ice Beam,Tackle,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,459,Snover,Energy Ball,Ice Beam,Ice Shard,Powder Snow,Return,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,460,Abomasnow,Blizzard,Energy Ball,Outrage,Powder Snow,Razor Leaf,Weather Ball (Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,461,Weavile,Avalanche,Feint Attack,Focus Blast,Foul Play,Ice Shard,Return,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,462,Magnezone,Charge Beam,Flash Cannon,Mirror Shot,Return,Spark,Wild Charge,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,463,Lickilicky,Earthquake,Hyper Beam,Lick,Shadow Ball,Solar Beam,Zen Headbutt,* Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,464,Rhyperior,Earthquake,Mud Slap,Skull Bash,Smack Down,Stone Edge,Superpower,Surf,* Rock Wrecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,465,Tangrowth,Ancient Power,Infestation,Power Whip,Rock Slide,Sludge Bomb,Solar Beam,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,466,Electivire,Ice Punch,Low Kick,Return,Thunder,Thunder Punch,Thunder Shock,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,467,Magmortar,Brick Break,Fire Blast,Fire Punch,Fire Spin,Karate Chop,Psychic,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,468,Togekiss,Aerial Ace,Air Slash,Ancient Power,Charm,Dazzling Gleam,Flamethrower,Hidden Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,469,Yanmega,Aerial Ace,Ancient Power,Bug Bite,Bug Buzz,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,470,Leafeon,Energy Ball,Leaf Blade,Quick Attack,Razor Leaf,Solar Beam,* Last Resort,* Bullet Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,471,Glaceon,Avalanche,Frost Breath,Ice Beam,Ice Shard,Icy Wind,* Last Resort,* Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,472,Gliscor,Aerial Ace,Earthquake,Fury Cutter,Night Slash,Sand Tomb,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,473,Mamoswine,Avalanche,Bulldoze,Mud Slap,Powder Snow,Stone Edge,* Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,* Porygon-Z,,,474,Porygon-Z,Blizzard,Charge Beam,Hidden Power,Hyper Beam,Lock-On,Return,Solar Beam,Zap Cannon,* Tri Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,475,Gallade,Charm,Close Combat,Confusion,Leaf Blade,Low Kick,Psychic,Return,* Synchronoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,476,Probopass,Magnet Bomb,Rock Slide,Rock Throw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,477,Dusknoir,Astonish,Dark Pulse,Hex,Ominous Wind,Psychic,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,478,Froslass,Avalanche,Crunch,Hex,Powder Snow,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,479,Rotom,Ominous Wind,Tackle,Thunder,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,479,Rotom-Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,479,Rotom-Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,479,Rotom-Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,479,Rotom-Mow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,479,Rotom-Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,480,Uxie,Confusion,Extrasensory,Future Sight,Swift,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,481,Mesprit,Blizzard,Confusion,Extrasensory,Future Sight,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,482,Azelf,Confusion,Extrasensory,Fire Blast,Future Sight,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,483,Dialga,Draco Meteor,Dragon Breath,Iron Head,Metal Claw,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,484,Palkia,Aqua Tail,Draco Meteor,Dragon Breath,Dragon Tail,Fire Blast,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,485,Heatran,Bug Bite,Fire Blast,Fire Spin,Flamethrower,Iron Head,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,486,Regigigas,Focus Blast,Giga Impact,Hidden Power,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,487,Giratina,Ancient Power,Dragon Breath,Dragon Claw,Shadow Claw,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,487,Giratina-Origin,Dragon Pulse,Dragon Tail,Ominous Wind,Shadow Ball,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,488,Cresselia,Aurora Beam,Confusion,Future Sight,Moonblast,Psycho Cut,* Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,489,Phione,Bubble,Bubble Beam,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,490,Manaphy,Bubble,Bubble Beam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,491,Darkrai,Dark Pulse,Feint Attack,Focus Blast,Shadow Ball,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,492,Shaymin,Energy Ball,Grass Knot,Hidden Power,Solar Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,492,Shaymin-Sky,Energy Ball,Grass Knot,Hidden Power,Solar Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Bug,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Dark,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Dragon,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Electric,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Fairy,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Fighting,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Fire,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Flying,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Ghost,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Grass,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Ground,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Ice,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Poison,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Psychic,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Rock,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Steel,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,493,Arceus-Water,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,494,Victini,Confusion,Focus Blast,Overheat,Psychic,Quick Attack,V-Create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,495,Snivy,Energy Ball,Seed Bomb,Tackle,Vine Whip,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,496,Servine,Grass Knot,Iron Tail,Leaf Tornado,Vine Whip,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,497,Serperior,Aerial Ace,Grass Knot,Iron Tail,Leaf Tornado,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,498,Tepig,Body Slam,Ember,Flame Charge,Flamethrower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,499,Pignite,Ember,Flame Charge,Flamethrower,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,500,Emboar,Ember,Flame Charge,Focus Blast,Heat Wave,Low Kick,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,501,Oshawott,Aqua Tail,Night Slash,Tackle,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,502,Dewott,Aqua Tail,Fury Cutter,Water Gun,Water Pulse,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,503,Samurott,Blizzard,Fury Cutter,Hydro Pump,Megahorn,Razor Shell,Waterfall,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,504,Patrat,Bite,Dig,Grass Knot,Hyper Fang,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,505,Watchog,Bite,Crunch,Grass Knot,Hyper Fang,Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,506,Lillipup,Dig,Rock Tomb,Tackle,Take Down,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,507,Herdier,Dig,Lick,Play Rough,Take Down,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,508,Stoutland,Crunch,Ice Fang,Lick,Play Rough,Take Down,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,509,Purrloin,Dark Pulse,Night Slash,Play Rough,Scratch,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,510,Liepard,Charm,Dark Pulse,Gunk Shot,Payback,Play Rough,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,511,Pansage,Crunch,Energy Ball,Scratch,Seed Bomb,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,512,Simisage,Bite,Crunch,Grass Knot,Solar Beam,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,513,Pansear,Crunch,Fire Spin,Flame Burst,Flame Charge,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,514,Simisear,Bite,Crunch,Fire Blast,Fire Spin,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,515,Panpour,Crunch,Scratch,Surf,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,516,Simipour,Bite,Crunch,Hydro Pump,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,517,Munna,Charge Beam,Dazzling Gleam,Psybeam,Psyshock,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,518,Musharna,Charge Beam,Dazzling Gleam,Future Sight,Psyshock,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,519,Pidove,Aerial Ace,Air Cutter,Air Slash,Heat Wave,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,520,Tranquill,Aerial Ace,Air Slash,Heat Wave,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,521,Unfezant,Air Slash,Heat Wave,Hyper Beam,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,522,Blitzle,Discharge,Flame Charge,Quick Attack,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,523,Zebstrika,Discharge,Flame Charge,Low Kick,Spark,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,524,Roggenrola,Bulldoze,Power Gem,Rock Blast,Smack Down,Stone Edge,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,525,Boldore,Bulldoze,Mud Slap,Rock Slide,Smack Down,Solar Beam,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,526,Gigalith,Heavy Slam,Mud Slap,Rock Slide,Smack Down,Solar Beam,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,527,Woobat,Aerial Ace,Air Cutter,Air Slash,Confusion,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,528,Swoobat,Aerial Ace,Air Slash,Confusion,Future Sight,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,529,Drilbur,Dig,Drill Run,Mud Slap,Rock Tomb,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,530,Excadrill,Drill Run,Earthquake,Iron Head,Metal Claw,Mud Shot,Mud Slap,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,531,Audino,Dazzling Gleam,Disarming Voice,Hyper Beam,Pound,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,532,Timburr,Brick Break,Low Kick,Low Sweep,Pound,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,533,Gurdurr,Brick Break,Low Kick,Low Sweep,Poison Jab,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,534,Conkeldurr,Counter,Dynamic Punch,Focus Blast,Poison Jab,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,535,Tympole,Bubble,Mud Bomb,Mud Shot,Sludge Wave,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,536,Palpitoad,Bubble,Earth Power,Mud Shot,Sludge Wave,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,537,Seismitoad,Bubble,Earth Power,Mud Shot,Muddy Water,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,538,Throh,Body Slam,Focus Blast,Low Kick,Low Sweep,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,539,Sawk,Body Slam,Focus Blast,Low Kick,Low Sweep,Poison Jab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,540,Sewaddle,Bug Bite,Energy Ball,Seed Bomb,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,541,Swadloon,Bug Bite,Bug Buzz,Energy Ball,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,542,Leavanny,Bug Bite,Leaf Blade,Leaf Storm,Razor Leaf,Silver Wind,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,543,Venipede,Bug Bite,Gyro Ball,Poison Sting,Signal Beam,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,544,Whirlipede,Bug Bite,Gyro Ball,Poison Sting,Signal Beam,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,545,Scolipede,Bug Bite,Gyro Ball,Megahorn,Poison Jab,Sludge Bomb,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,546,Cottonee,Charm,Energy Ball,Grass Knot,Razor Leaf,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,547,Whimsicott,Charm,Grass Knot,Hurricane,Moonblast,Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,548,Petilil,Charm,Energy Ball,Hidden Power,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,549,Lilligant,Charm,Hidden Power,Hyper Beam,Petal Blizzard,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,550,Basculin,Aqua Jet,Aqua Tail,Muddy Water,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,550,Basculin-Blue-Striped,Aqua Jet,Aqua Tail,Muddy Water,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,551,Sandile,Bite,Bulldoze,Crunch,Dig,Mud Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,552,Krokorok,Bite,Bulldoze,Crunch,Earthquake,Mud Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,553,Krookodile,Crunch,Earthquake,Mud Slap,Outrage,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
